,Unnamed: 0,text,label
2249,2249,The good thing about this film is that it stands alone - you don't have to have seen the original. Unfortunately this is also it's biggest drawback. It would have been nice to have included a few of the original characters in the new story and seen how their lives had developed. Sinclair as in the original is excellent and provides the films best comic moments as he attempts to deal with awkward and embarrassing situations but the supporting cast is not as strong as in the original movie. Forsyt,1
1496,1496,"I must say that I am fairly disappointed by this ""horror"" movie. I did not get scared even once while watching it. It also is not very suspenseful either.... I was able to guess the ending half way through the movie... So.. what's left?<br /><br />""The Ring"" is a trully scary movie... I wish other movies would stop copying from it (e.g. the trade-mark: long hair). Please give me some originality.<br /><br />Will not recommend this movie.",0
2436,2436,"What can I say, it's a damn good movie. See it if you still haven't. Great camera works and lighting techniques. Awesome, just awesome. Orson Welles is incredible 'The Lady From Shanghai' can certainly take the place of 'Citizen Kane'.",1
3860,3860,"A female executioner (played by the sexy Jennifer Thomas II) has the fun job of fulfilling all the fantasies of all the men on death row before they meet their maker. And what a way to go. Lucky this film is not real, or we would have a lot more people in this world on death row.<br /><br />It starts out real slow. Low light and bad acting, like most (B) films. It gets better as it moves along. And ends with a bang.<br /><br />I would rate it very high on the low cost, very sexy movies of the 90",1
906,906,"A film like Amazing Grace and Chuck is a perfect example of how the left in this country just doesn't get it. They never did. And liberalism continues to slip further and further into political oblivion.<br /><br />This film deals with a little league baseball star who decides to stop playing ball as a protest to the existence of nuclear weapons. The boy is understandably ridiculed until a bevy of professional athletes, led by former NBA star Alex English, join his cause. Not just a few of them ",0
2521,2521,"This complete mess of a movie was directed by Bill Rebane, the man partly responsible for the truly infamous anti-classic Monster a-Go Go. As I was nearing the end of The Cold I came to the unbelievable conclusion that this film was in fact even worse than that 60's shocker. The story  such as it is  is about three eccentric millionaires who invite a group of people to their remote mansion to play a series of macabre games. Whoever manages to last the pace and survive to the end will win $1,00",0
3778,3778,"I'll make this short and sweet....this movie sucked!!!!!!<br /><br />I watched part 1 earlier today and thought it was one of the greatest films ever, gave it 9 out of 10 stars. So I thought perhaps part 2 and 3 would be good sequels, I was wrong. This movie bored me to death and was so different from the first one, it had the plot continue and thats it. It was like bad outtakes from part one or something.<br /><br />I love Walken, but I felt sorry for him here. I was so happy about Glenn Danzig",0
100,100,"The premise for Circle of Two is an intriguing one. A forbidden love between a sixty year old painter Ashleigh (Richard Burton) and a fifteen year old girl Sarah Norton (Tatum O'Neill); and the question of whether such a relationship is acceptable given society's standards. The problem with Circle of Two, however, is that it fails to live up to its promise. Director Jules Dassin and Hedley should have put more thought into the screenplay. When I watched this film, I expected to learn something n",0
2867,2867,"One of the requirements of science fiction, at least before it starts to become satire, is that it be somewhat plausible. I would think that an anti-matter bomb would do considerably more damage than for what it was intended. But I'll leave that to the physicists who might have seen Solar Crisis.<br /><br />It is a crisis the earth is facing because solar flares are getting totally out of hand. They're getting close to Earth, so much so that it's become unseasonably hot, as if the entire Earth w",0
1033,1033,I only watched this film from beginning to end because I promised a friend I would. It lacks even unintentional entertainment value that many bad films have. It may be the worst film I have ever seen. I'm surprised a distributor put their name on it.,0
4934,4934,"At least the seats in the theater were comfortable and I ate the pop corn as loud as possible to drown out the inferior dialogue. This is absolutely not a girls film. Any blokes who like it, are the ones us ladies can be sure to stay far away from. Dumb story, mediocre dialogue and an overall cheap looking film. I've seen many, many movies but this one is the new winner in the bad category. If you do happen to see it, the one thing you'll look forward to is the ending. So you can finally run out",0
2248,2248,"A handful of critics have awarded this film with positive comments. I don't wish to argue with their opinion, but I strongly disagree. When I first watched this film I was mildly impressed. But after comparing it with other films, particularly with the late master, Bruce Lee I quickly changed my mind. In fact, if it wasn't for the title of the film, I would never have bought it. Game of Death 2 doesn't relate to the original Game of Death, (except it shares one character, Billy Lo.)<br /><br />I",0
2066,2066,"This is one of the worst action films I have ever seen. This is particularly due to much of the factual implausibility (like an obvious agent posing as a bank loan officer while making obvious that he is speaking to someone through a wire or the scene where the scientists assume it is safe to enter a room in which a virus has been released even though 'it has not found a viable host' does not mean that it will never find one), the cheap sets (the bank looks like it was poorly constructed to rese",0
4320,4320,"I may not be the one to review this movie because after 45 minutes of pure boredom and stupidity I turned the channel. The original series only lasted 2 years which can be said about the careers for Adam West and Burt Ward. Put these two ""actors"" in a stupid movie and the result is twice as bad.",0
3499,3499,"If it wasn't for some immature gullible idiot I know insisting that I watch this ""documentary"" I would never have seen this comedy! This film is full of bad scripting and laughable moments. One in particular is where the Afghan police / soldiers arrest Don Larson for filming in the streets while they allow the cameraman to carry on filming his arrest and then drive away, still filming, presumably to his plush hotel. Then there's the scene where a car crashes into another car which has been turne",0
627,627,"I went into a Video Store and looked around to find some Horror Movies, after about 30 minutes I just rushed and picked out a few. I stumbled upon ""Masters of Horror"" which contained ""Pro-Life"" and ""Right to Die"". They seemed OK, same-old cheesy Horror crap, but I was interested for some reason. It said about Pro-Life on the case about being a classic, a return to form for John Carpenter (I loved his ""The Thing"", so I thought this would be good) and all that. So I turned it on thinking it would ",0
2682,2682,"All of the X-Men movies were great. And I mean all of them, including the long hated X-Men 3. They had solid characters (Magneto and Xavier were the best ones, in my opinion), and a good story arch.<br /><br />I was all excited when I heard this movie was on production, and my expectations grew bigger and bigger until I saw the movie. I was so disappointed.<br /><br />Hugh Jackman is not a bad actor (his best movie is The Fountain, although you won't hear about this movie when they talk about th",0
1317,1317,"""The Hazing"" is one of them films I always wanted to see solely based on the illustrated cover image here on IMDb. Yes, that's how shallow I am! I don't care if ten million people call it a crap movie, the poster looks awesome so I guess I'll just have to see it  Now, ""The Hazing"" can somewhat be described like its alternate title: curious! The poster and title make it sound like a genuine horror movie set on campus and dealing with sinister initiation rites, but this movie is actually more of ",0
2186,2186,"I loved this show growing up and I still watch the first season DVD at age 19 today. What can I say? I grew up in a house much like the one on Full House. I had a dad, two sisters, and a dog. I guess the only difference was that I did not live with my uncle and my dad's best friend. Also, I grew up with my mom in the house. I don't know what I would have done without Full House on television. I think that Stephanie (played by Jodie Sweetin), D.J. (played by Kirk Cameron's sister Candace), and Mi",1
60,60,"Normally I'm quite disposed to like low budget gonzo films, but Darkman III is so appallingly unengaging that I feel nothing but contempt for it.<br /><br />It looks and feels like a TV show, and a particularly shoddy one at that. The sets are sparse, the lighting flat, the score and effects disjointed, and the camerawork is film school 101. There's no plot to speak of, the characters are one dimensional, and the actors are sleepwalking. Most of the cast look like they should be doing soft core ",0
796,796,"Excellent show. Instead of watching the same old sitcom type shows where it's the same old thing, just different ""stars"", this refreshing show provided an incredibly entertaining view of office situations. We have been away from watching any television for 2 years and after coming back, of all the shows available we look forward to watching this show on W. Shame on Global for pulling the plug on this one. I thought this one would be a winner. Let's be realistic about things, FEW Canadian SHOWS m",1
3238,3238,"This was longer than the Ten Commandments, All Lord of the Rings and the Matrix Trilogy combined. My oh My, what a nightmare. This is the single biggest over-hype of 2006. THere is not a moment that is not scripted and clichéd. Movie Musicals can be done brilliantly and bring genuine excitement to the viewer. Dreamgirls takes the route of Chinese Water Torture, in the form of endless music montages, shoddy acting, and poor directing choices (Seriously, Mr. Condon, did you HAVE to do the old Bill",0
4645,4645,Eddie Murphy Delirious is undoubtedly the funniest thing I have ever seen in my life. When I saw it for the first time about 2 years ago I was in stitches for weeks after it. To date I have seen it a further 17 times and i still laugh my ass off each time. For those who dont know Eddie Murphy was a brilliant stand up comedian before he was a Hollywood superstar. There is not one dull spot in this piece of genius unlike Eddie Murphy Raw which was released in 1987 which goes flat during the middle,1
2878,2878,"(This is a review of the later English release by Disney, featuring Alison Lohman, Patrick Stewart, and co.) <br /><br />I really wanted this film to be good. Really, really. I'm a huge fan of Princess Mononoke and Spirited Away, and after seeing all the glowing reviews on this earlier Miyazaki film, I was eager to see it. But I was shocked, shocked I say, at the quality of this film. Those later films boast well-crafted plots, 3-dimensional characters, and the best film music since...well...eve",0
2632,2632,"Eddie Murphy spends his time looking for lost children, so when a very special magical child is kidnapped in Tibet, the sexy Charlotte Lewis asks for his help to rescue this child from the clutches of evil itself.<br /><br />Although the story is a bit silly, it never quite feels corny, despite the hilarity of the comedy throughout the film; Charles Dance off-sets the comedy with his very serious and dark characterisation of the evil that holds the child hostage.<br /><br />The Golden Child is v",1
1789,1789,"Well, one has to give the director credit for how gutsy he was. Gutsy would be the right term. Not only did he use a total cast of five people (no extras at ALL), but he also decided to use sub-par special effects with a confusing and boring plot, he also, and I AM NOT kidding, put a warning at the beginning of the movie that you might DIE OF FRIGHT!!! However, they do promise a FREEEEEE COOOOFFFFFFFIIIIINNNNN. To have a creepy limping gardener is always a good move. Yaaa-unique-aaawwwwnnn....<b",0
4294,4294,"While in a plane, flicking through the large choice of movies, I came across Live! almost accidentally. oh boy! what a choice.<br /><br />I remembered vaguely seeing the trailer over a year ago and completely forgot about it expecting no more than another cheesy nonsense movie about a stupid reality show. Now I can easily say this has been a hell of a ride. I don't remember last time I have been so excited, terrified. Not sure if it was the high altitude playing with my senses, but the suspense ",1
14,14,"I've noticed over the years that when a rock star makes his final album before his death, that album, if it's not his best, is usually prolific in some way and worthy of a listen at least. The album is usually good enough to cement a legacy. However, when it comes to comedians, especially mainstream comics who star in their own vehicles, their final movie is usually God awful. John Belushi had ""Neighbors"", John Candy had ""Wagon's East"", Chris Farley had ""Almost Heroes"", Phil Hartman had ""Small S",0
4192,4192,"This sequel is a total rehash of the first film. A completely pointless movie. It basically just took every single sceanrio of the first film and they redid it in Omen IV except with a female antichrist this time. It even ends the same way as the first one! The music is too busy and interfering, and because its pretty much a copy of Omen I, it's extremely predictable. It's not a horrible movie, it's not terribly made, there is much worse movies out there, this just had absolutely no point in bei",0
1845,1845,"While watching this movie I was frustrated and distracted and by the end, I wanted to give the movie a solid 4 or 5. I thought the animation was random and all over the place and there was too much going on. Even my A.D.D couldn't keep up. It felt like a slight acid trip. Everything looked flat, there was no dimension to anything. There were so many shapes, lines and patterns. I really wanted to stop the movie mid-way and smash my burned copy of this movie. But after I finish watching it, I went",1
3484,3484,Arthur is middle aged rich 'kid' who drinks like a fish. Arthur does what he feels like and says whatever comes into his mind. He likes to boast about his riches and knows that he is a spoiled brat. He spends money on people he don't know and finds everything funny. Arthur must marry a high class girl to inherit a big fortune but he falls in love with a poor waitress Liza Minnelli (she looks really weird).<br /><br />This is a damn funny film. I watched this film because a very famous Indian fil,1
4093,4093,"I've often wondered just how much CASPER was meant for children...with all the issues revolving around his identity (in this film we are lead to believe that he is the spirit of a dead child, as his home is a cemetery plot), as well as the disturbing message brought by this particular film. Maybe Casper was meant more as a morality play, or Famous Studios felt like breaking new ground in 'reality' cartoons.<br /><br />THERE'S GOOD BOOS TONIGHT is a well-animated project-no doubt there. But, the ",1
3613,3613,"I was lucky to see ""Oliver!"" in 1968 on a big cinema screen in Boston when I was a young teenager. Later, during the summer of 1969, I was pleased to see this film was still playing at a prominent cinema in Leicester Square, London, after it had won the Academy Award for Best Picture of the previous year.<br /><br />Th success of ""Oliver!"" on both the stage and screen reminded me that not all talent begins on Broadway and ends in Hollywood. This legendary story by Charles Dickens, which is part ",1
2862,2862,"I saw this movie at a college film festival back in the 70's - I have been waiting FOREVER for this movie to come out on video (finally it's out). It was made in Brazil, so I assumed that was why it hadn't made it to video yet. I have been checking video stores for the past 15 years waiting for this outstanding movie to come out! It is one of my all-time favorites - but be warned, it is weird, like Werner Herzog weird - its weirdness stems from its super-realism.<br /><br />The movie is based on",1
3879,3879,"Back in the 70's, when I had first seen this, I was in high school. It was cool then. Now as an adult I look back at it and I say to myself..yeah right. What was so funny? It has it's moments but they are few and far between. It is so dated that the jokes no longer stand up. Show this to a younger crowd and they will be totally lost. If you like this type of humor you may want to stick with Kentucky Fried Movie or Amazon Women From The Moon. Tunnel Vision as well as Groove tube are too dated for",0
3625,3625,"This movie was absolute torture. First of all, it's a whopping 4+ hours long! True, the Kargil war may have had several points that were captured and fought for, but every single one of those battles need not have been shown. So maybe this is a documentary, not a commercial film as advertised. Sure didn't seem like it, as enough background information was not given and there were some flaws. The battle sequences were so poorly executed. I am terribly disappointed from the man who gave well done ",0
3313,3313,"""Sandra, the Making of a Woman"" is a standout among exploitation films, and is so for two reasons: (1) an excellent, yet effortless, performance by Monica Gayle, and (2) the fact that Gary Graver was at the helm of the project. These two talents, both of whom are quite underrated, make ""Sandra"" a film that should be seen.<br /><br />Another key element of the film's success is its realism -- there is nothing fake or ""Hollywood"" about this set-in-California film. It is truly a slice of life. The ",1
4913,4913,"As I write this review in 2008, we are mired in a remake culture. Movie studios seem determined to ruin as many classic films as they can with thoroughly pointless updates including 'King Kong, 'The Wicker Man' and practically every film that ever starred Michael Caine. This lazy remake mentality is not a new phenomenon, however, as 'Dough for the Do-Do' proves. An entirely pointless colorized version of Bob Clampett's surreal masterpiece 'Porky in Wackyland', 'Dough for the Do-Do' sucks the lif",0
2939,2939,"1st watched 11/7/2002 - 2 out of 10(Dir-John Bianco): Pretty lame gangster movie about a Godfather-like family in Brooklyn who like to say four-letter words a lot and kill people. The only thing of interest here was their attempt to show the feds being a lot like the gang. This is the only attempt at good film-making. The rest of the movie was predictable, and cheaply-made. The quality of the photography on some of the scenes inside bars and floozy joints almost made you think there was a proble",0
4034,4034,"I can hardly believe I watched this again last night after more than 25 years...<br /><br />Some time back, I watched 6 Fu films in a row... Boris Karloff, and all 5 Chris Lees. The last 2 Lees, both directed (and I use that word loosely) by Jess Franco, were abominable. At the time, I skipped this one, remembering that, in some ways, it was EVEN WORSE.<br /><br />Well, I watched it. NEVER again. You know what's worse that an abominable film? A really WELL-MADE piece of S***. And that's what FIE",0
3698,3698,Pearl S.Buck was a brilliant author that was a first American lady won Nobel prize in literature in 1938 and received her prize with Enrico Fermi an Italian Physit.<br /><br />She wrote this romance in 1931 which was a second one after her first novel (East wind and West wind) in 1930 and her beginning in literature was fantastic upon her premier novels.<br /><br />she won in 1935 (Pulitzer prize) in literature on her eternal novel (The good earth) which made a brilliant panorama on the life of ,1
2522,2522,"This is one strange hacked together film, you get the feeling that the bond company had to come in on this one, I'm not surprised there's no credits on it, who would want to be associated with this film. The Acting of all involved is terribly stilted and the plot jumps around all over, it all makes very little sense. As I said before it looks like the bond company had to come in because it seems like there was alot of footage that wasn't shot that needed to be, and all the music was very ill-fit",0
3195,3195,"This movie is actually FUNNY! If you'd like to rest your brain for an hour so then go ahead and watch it. It's called blonde and blonder, so don't expect profound and meaningful jokes. What this movie and enjoy all the stereotypes we have about two blondes. It's just a funny movie to watch on a date or with a company of friends (especially if you're not too sober. Lol ) Pamela and Denise are still pretty hot chicks. It's a mistake to judge this movie as a piece of art. C'mon, this movie is about",1
4966,4966,"I can't for the life of me remember why--I must have had a free ticket or something--but I saw this movie in the theater when it was released. I don't remember who I went with, which theater I was in, or even which city. All I remember was how offended I was at this travesty someone dared to call a film, and how half the people in the theater walked out before the movie was over. Unfortunately I stuck it out to end, which I still consider to be one of the worst mistakes of my life thus far. My o",0
2196,2196,"When I saw previews of this movie I thought that it may be dumb, but it will at least be funny. Well I was wrong. Even though somewhere deep down the producers had an interesting message to convey about parents being left alone and re-evaluating their life, the way they tried to deliver that message was horrible. The first fifty times something silly happened to the couple was relatively funny. But by the end, I could almost predict what stupid mishap is going to happen next.<br /><br />Througho",0
2451,2451,"Of all the film noirs of the 1940s and 1950s, this has to rank as one of the strangest, and most fun to watch. I say that because of the four main actors: Orson Welles, Rita Hayworth, Everett Sloane and Glenn Anders. <br /><br />The first two names are familiar to everyone but it was the last two that made this movie so entertaining to me, especially Anders. His character, ""George Grisby,"" is one of the strangest people I've ever seen on film. His voice, and some of the things he said, have to b",1
1480,1480,"Jean-Claude Van Damme plays twin brothers Alex and Chad, both whom are martial arts expert who team up to take down the mobsters responsible for the murder of the parents in this empty headed martial arts actioner which doesn't have a plot that would make better use of the gimmick of having two Jean-Claude Van Dammes. Some okay actionscenes, but this is not one of Van Damme's best.",0
703,703,"This movie is as unique as it is overlooked......A Different Story is just that, it shows how out of the need to survive or maintain, one can find the capacity to love if you have an open heart as well as an open mind. I first saw this on cable in the late 70's and it truly depicted the limitations of the gay community at the time. I believe this movie was ahead of its time in depicting a little slice of an obscure way of life. It is truly a classic in the sense that it was a precursor to what i",1
89,89,"The 60s (1999) D: Mark Piznarski. Josh Hamilton, Julia Stiles, Jerry O'Connell, Jeremy Sisto, Jordana Brewster, Leonard Roberts, Bill Smitrovich, Annie Corley, Charles S. Dutton. NBC mini-series (later released to video/DVD as full length feature film) about the treacherous 1960s, as seen through the eyes of both a white family and a black family. The film's first half is driven by the excellent performance of Dutton as Reverend Willie Taylor and evenly spreads the storyline between the families",0
3151,3151,"Does anyone know, where I can see or download the ""What I like about you"" season 4 episodes in the internet? Because I would die to see them and here in Germany there won't be shown on TV. Please help me. I wanna see the season 4 episodes badly. I already have seen episode 4 and episode 18 on YouTube. But I couldn't find more episodes of season 4. Is there maybe a website where I can see the episodes? Because I've read some comments in forums from Germany and there were people which had already ",1
3649,3649,"I've never been huge on IMAX films. They're cool, but once you get over that initial rush of ""Whoa, it feels like flying!"" the movies themselves are usually pretty corny and ordinary. <br /><br />The exceptions have been the powerful ""Everest"", the exhilarating ""Wild California"" and now the BBC's ""The Human Body"", a super-sized look at the insides of our bodies. <br /><br />Our bodies are machines of a complexity that is simply inconceivable. This 50 minute film could be 10 hours long, and still",1
401,401,"Well to answer one persons's question of ""why doesn't anyone remember this film?"" it's because really,not that many people saw it in 1978 and it's not been shown much on TV since. (If it's on video that'd be news to me!) Even in the era of sometimes mindless comedies that was the '70s,movie-goers had the smarts to avoid this film. Unless they love Billy Crytal,Paul Lynde or Joan Rivers ""that"" much! <br /><br />Paul Lynde was funnier on ""Bewitched"" or ""Hollywood Squares"" than here. Joan Rivers at",0
1561,1561,"Parsifal (1982) Starring Michael Kutter, Armin Jordan, Robert Lloyd, Martin Sperr, Edith Clever, Aage Haugland and the voices of Reiner Goldberg, Yvonne Minton, Wolfgang Schone, Director Hans-Jurgen Syberberg.<br /><br />Straight out of the German school of film, the kind that favored tons of symbolism and Ingmar Bergmanesque surrealism, came this 1982 film of Wagner's final masterpiece- Parsifal, written to correspond with Good Friday/Easter and the consecration of the Bayreuth Opera House. Thi",1
70,70,"The filming is pleasant and the environment is keenly realistic. I liked that it boldly redresses conceptions of the many difficult moral and social morays of the 1930's Chinese-mainland countryside as well as more basic human questions - I felt I could get a real sense of the times, recreated even in splendid shots of traditional Chinese theatre and in purist depictions of street living. It seemed worthwhile to experience. The interwoven role which Buddhism plays is probably the most true-to-fo",1
1964,1964,"how many minutes does it take to paint a poem? in this film much too long. <br /><br />it tells the story about the impact of a first love between two schoolboys. <br /><br />the boys can't withhold touching each other and making love. after a while one gets distracted by a brief encounter with a sensual guy in the disco and that raises doubt: exploration, fantasy, longing, lust and feelings of loosing grip on your love are themes that are all extensively painted with music, close-ups and silent",0
